name,nameful,name_point,name_area,province,lon,lat,type,year
安庆,安庆市,安庆市,安庆市,安徽省,116.4122095,30.63851146,三线城市,2025
蚌墇,蚌埠市,蚌埠市,蚌埠市,安徽省,117.2973608,33.12967429,三线城市,2025
亳州,亳州市,亳州市,亳州市,安徽省,116.1909737,33.4387946,三线城市,2025
池州,池州市,池州市,池州市,安徽省,117.3565085,30.33298859,五线城市,2025
滁州,滁州市,滁州市,滁州市,安徽省,118.2048737,32.32659067,三线城市,2025
阜阳,阜阳市,阜阳市,阜阳市,安徽省,115.5002927,32.94150598,三线城市,2025
合肥,合肥市,合肥市,合肥市,安徽省,117.3391573,31.97258691,新一线城市,2025
淮北,淮北市,淮北市,淮北市,安徽省,116.745958,33.7188717,四线城市,2025
淮南,淮南市,淮南市,淮南市,安徽省,116.7392327,32.76848412,四线城市,2025
黄山,黄山市,黄山市,黄山市,安徽省,118.0905265,29.86683293,四线城市,2025
六安,六安市,六安市,六安市,安徽省,116.5025406,31.76031494,三线城市,2025
马鞍山,马鞍山市,马鞍山市,马鞍山市,安徽省,118.5647411,31.51065383,三线城市,2025
宿州,宿州市,宿州市,宿州市,安徽省,117.3102288,33.7626659,三线城市,2025
铜陵,铜陵市,铜陵市,铜陵市,安徽省,117.8918685,30.94856257,四线城市,2025
芜湖,芜湖市,芜湖市,芜湖市,安徽省,118.3372903,31.04890339,三线城市,2025
宣城,宣城市,宣城市,宣城市,安徽省,118.751927,30.6617043,四线城市,2025
北京,北京市,北京市,北京市,北京市,116.3642563,40.14212848,一线城市,2025
福州,福州市,福州市,福州市,福建省,119.2291265,26.08499448,二线城市,2025
龙岩,龙岩市,龙岩市,龙岩市,福建省,116.7384333,25.29371729,四线城市,2025
南平,南平市,南平市,南平市,福建省,118.1456435,27.26456657,四线城市,2025
宁德,宁德市,宁德市,宁德市,福建省,119.3873178,27.01129418,三线城市,2025
莆田,莆田市,莆田市,莆田市,福建省,118.8661004,25.47877765,三线城市,2025
泉州,泉州市,泉州市,泉州市,福建省,118.2905513,25.18492021,二线城市,2025
三明,三明市,三明市,三明市,福建省,117.4685947,26.23046165,四线城市,2025
厦门,厦门市,厦门市,厦门市,福建省,118.0157028,24.60161435,二线城市,2025
漳州,漳州市,漳州市,漳州市,福建省,117.4823335,24.35982116,三线城市,2025
白银,白银市,白银市,白银市,甘肃省,104.1854401,36.54949187,五线城市,2025
定西,定西市,定西市,定西市,甘肃省,104.4205828,35.13236149,五线城市,2025
甘南,甘南藏族自治州,甘南藏族自治州,甘南藏族自治州,甘肃省,102.7012528,34.4832506,五线城市,2025
嘉峪关,嘉峪关市,嘉峪关市,嘉峪关市,甘肃省,98.27426146,39.80161667,五线城市,2025
金昌,金昌市,金昌市,金昌市,甘肃省,102.1801148,38.49863434,五线城市,2025
酒泉,酒泉市,酒泉市,酒泉市,甘肃省,96.35550868,40.27631921,五线城市,2025
兰州,兰州市,兰州市,兰州市,甘肃省,103.5739616,36.11905651,三线城市,2025
临夏,临夏市,临夏回族自治州,临夏回族自治州,甘肃省,103.2099075,35.59815215,五线城市,2025
陇南,陇南市,陇南市,陇南市,甘肃省,105.2417774,33.58159295,五线城市,2025
平凉,平凉市,平凉市,平凉市,甘肃省,106.6973877,35.52997208,五线城市,2025
庆阳,庆阳市,庆阳市,庆阳市,甘肃省,107.594848,36.13523226,五线城市,2025
天水,天水市,天水市,天水市,甘肃省,105.7198868,34.58121872,四线城市,2025
武威,武威市,武威市,武威市,甘肃省,102.6323471,37.92670059,五线城市,2025
张掖,张掖市,张掖市,张掖市,甘肃省,100.4531632,38.93202972,五线城市,2025
潮州,潮州市,潮州市,潮州市,广东省,116.6398468,23.66458128,四线城市,2025
东莞,东莞市,东莞市,东莞市,广东省,113.8541012,22.94276792,新一线城市,2025
